"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"ENC201,ENC202,ENC203";"SW-TH_PEC12R-4120F-S0012";3;"PEC12R-4120F-S0012";;;
2;"OLED201";"OLED-TH_L38.0-W12.0_HS91L02W2C01";1;"HS91L02W2C01";;;
3;"LED101";"LED0805-R-RD";1;"0805G";;;
4;"LED102";"LED0805-R-RD";1;"0805Y";;;
5;"C119,C120";"C0603";2;"15pF";;;
6;"R209,R210,R201,R205,R207,R206,R202,R109,R211,R208,R212,R204,R203";"R0603";13;"10k";;;
7;"C117,C116";"C0603";2;"1uF";;;
8;"C201,C107,C207,C204,C106,C101,C105";"C0603";7;"2.2uF";;;
9;"C206,C202,C208,C203,C205,C209";"C0603";6;"10nF";;;
10;"C109,C114,C121,C112,C103,C113,C104,C115,C102,C108,C118";"C0603";11;"100nF";;;
11;"U102";"LQFN-56_L7.0-W7.0-P0.4-EP";1;"RP2040";;;
12;"D208,D206,D212,D213,D204,D209,D211,D207,D203,D210,D205,D202,D201";"SOD-323_L1.8-W1.3-LS2.5-RD";13;"1N4148";;;
13;"D103,D101,D104,D102";"D0603-BI-A";4;"KPESD0603AV5";;;
14;"R108,R110,R102,R103";"R0603";4;"1k";;;
15;"U101";"SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR";1;"NCP1117ST33T3G";;;
16;"R105,R111,R104";"R0603";3;"27R";;;
17;"R106,R107";"R0603";2;"5.1k";;;
18;"U103";"SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL";1;"W25Q128JVSIQTR";;;
19;"SW102,SW101";"SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5";2;"TS-1187A-B-A-B";;;
20;"R101";"R0603";1;"200R";;;
21;"U104";"CRYSTAL-SMD_4P-L3.2-W2.5-BL";1;"ABM8-272-T3";;;
22;"C111,C110";"C0603";2;"10uF";;;
23;"USB101";"USB-C-SMD_TYPE-C-6PIN-2MD-073";1;"TYPE-C 16PIN 2MD(073)";;;
