Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105, C106, C107, C201, C204, C207",C0603,7,2.2uF,C23630
"C102, C103, C104, C108, C109, C112, C113, C114, C115, C118, C121",C0603,11,100nF,C1591
"C110, C111",C0603,2,10uF,C1691
"C116, C117",C0603,2,1uF,C15849
"C119, C120",C0603,2,15pF,C1644
"C202, C203, C205, C206, C208, C209",C0603,6,10nF,C1589
"D101, D102, D103, D104",D0603-BI-A,4,KPESD0603AV5,C2944167
"D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213",SOD-323_L1.8-W1.3-LS2.5-RD,13,1N4148,C2128
"ENC201, ENC202, ENC203",SW-TH_PEC12R-4120F-S0012,3,PEC12R-4120F-S0012,C143801
LED101,LED0805-R-RD,1,0805G,C2297
LED102,LED0805-R-RD,1,0805Y,C2296
OLED201,OLED-TH_L38.0-W12.0_HS91L02W2C01,1,HS91L02W2C01,C5248081
R101,R0603,1,200R,C8218
"R102, R103, R108, R110",R0603,4,1k,C21190
"R104, R105, R111",R0603,3,27R,C25190
"R106, R107",R0603,2,5.1k,C23186
"R109, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212",R0603,13,10k,C25804
"SW101, SW102",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,TS-1187A-B-A-B,C318884
U101,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,NCP1117ST33T3G,C26537
U102,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U103,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U104,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3,C20625731
USB101,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
