Designator,Mid X,Mid Y,Rotation,Layer
C101,119.7864,-65.532,90.0,bottom
C102,145.096,-61.5,0.0,bottom
C103,145.096,-64.25,0.0,bottom
C104,123.3424,-70.231,180.0,bottom
C105,129.2352,-69.4436,0.0,bottom
C106,129.2352,-71.2216,0.0,bottom
C107,145.096,-58.674,0.0,bottom
C108,146.05,-48.0,180.0,bottom
C109,146.0,-49.778,180.0,bottom
C110,84.964,-69.788,90.0,bottom
C111,87.377,-69.788,90.0,bottom
C112,125.7412,-53.848,180.0,bottom
C113,121.9708,-62.8396,180.0,bottom
C114,129.2352,-66.2686,180.0,bottom
C115,145.193465,-67.25,0.0,bottom
C116,124.206,-27.686,270.0,bottom
C117,107.442,-27.367,270.0,bottom
C118,80.4672,-60.8584,90.0,bottom
C119,122.3264,-53.8988,0.0,bottom
C120,117.094,-59.3852,0.0,bottom
C121,88.138,-31.496,270.0,bottom
C201,95.25,-44.45,90.0,bottom
C202,87.249,-45.212,180.0,bottom
C203,103.886,-47.244,270.0,bottom
C204,114.3,-44.704,90.0,bottom
C205,106.172,-45.212,180.0,bottom
C206,122.174,-48.006,270.0,bottom
C207,133.35,-44.45,90.0,bottom
C208,125.222,-45.212,180.0,bottom
C209,141.478,-48.006,270.0,bottom
D101,121.158,-27.686,270.0,bottom
D102,109.093,-27.432,270.0,bottom
D103,123.0376,-34.8892,90.0,bottom
D104,125.5268,-34.8892,90.0,bottom
D201,105.25,-57.15,90.0,bottom
D202,105.25,-76.15,90.0,bottom
D203,124.25,-76.15,90.0,bottom
D204,143.25,-76.15,90.0,bottom
D205,105.25,-95.15,90.0,bottom
D206,124.25,-95.15,90.0,bottom
D207,143.25,-95.15,90.0,bottom
D208,105.25,-114.15,90.0,bottom
D209,124.25,-114.15,90.0,bottom
D210,143.25,-114.15,90.0,bottom
D211,97.79,-35.687,90.0,bottom
D212,116.84,-35.814,90.0,bottom
D213,135.89,-35.968,90.0,bottom
ENC201,95.25,-39.97,0.0,top
ENC202,114.3,-39.97,0.0,top
ENC203,133.35,-39.97,0.0,top
H101,146.4056,-89.2997,90.0,top
LED101,102.616,-26.67,270.0,top
LED102,95.758,-26.67,270.0,top
OLED201,108.75,-61.15,0.0,top
R101,129.2352,-67.9196,0.0,bottom
R102,105.664,-34.532,270.0,bottom
R103,104.14,-34.544,270.0,bottom
R104,145.0968,-54.356,0.0,bottom
R105,145.0968,-53.0352,0.0,bottom
R106,114.3628,-33.8836,0.0,bottom
R107,121.932,-25.273,180.0,bottom
R108,121.9708,-61.3156,180.0,bottom
R109,83.82,-42.926,180.0,bottom
R110,141.478,-43.434,270.0,bottom
R111,86.614,-31.496,270.0,bottom
R201,92.71,-49.657,270.0,bottom
R202,97.79,-44.45,90.0,bottom
R203,90.424,-45.212,180.0,bottom
R204,102.108,-47.244,90.0,bottom
R205,111.76,-49.784,270.0,bottom
R206,116.84,-44.7428,90.0,bottom
R207,109.474,-45.212,180.0,bottom
R208,120.396,-48.006,90.0,bottom
R209,130.81,-50.038,270.0,bottom
R210,135.89,-44.45,90.0,bottom
R211,128.524,-45.212,180.0,bottom
R212,139.827,-48.006,90.0,bottom
SW101,144.526,-38.608,0.0,bottom
SW102,83.868,-38.608,0.0,bottom
SW201,95.25,-58.87,0.0,top
SW202,95.25,-77.92,0.0,top
SW203,114.3,-77.92,0.0,top
SW204,133.35,-77.92,0.0,top
SW205,95.25,-96.97,0.0,top
SW206,114.3,-96.97,0.0,top
SW207,133.35,-96.97,0.0,top
SW208,95.25,-116.02,0.0,top
SW209,114.3,-116.02,0.0,top
SW210,133.35,-116.02,0.0,top
U101,87.2744,-63.754,90.0,bottom
U102,137.16,-58.7696,90.0,bottom
U103,134.0612,-85.1916,180.0,bottom
U104,122.2114,-57.9254,270.0,bottom
USB101,115.062,-26.15,180.0,bottom
